--Save Stationary List of Groups: RedGround.csv
Ph1 SAM/Armor YV03,34,107267,495,378353,ZSU-23-4 Shilka==2;Tigr_233036==4;BTR-80==2;Infantry AK==9;Strela-1 9P31==1;T-55==3;ZSU_57_2==1;ZIL-135==2;ZiL-131 APA-80==3;BMP-3==2;BTR-82A==1;BMD-1==2;Ural-375==1;Osa 9A33 ln==1;
Ph1 AAA/Armor XV62,29,103135,338,337858,ZSU-23-4 Shilka==2;Grad-URAL==2;Ural-4320-31==3;Strela-1 9P31==1;ZSU_57_2==2;T-55==4;BMP-2==3;ZIL-135==3;BTR-82A==3;Ural-375 ZU-23==2;ATZ-5==4;
Ph1 RED SAM SA-8 XV62,1,103054,337,337870,Osa 9A33 ln==1;
Ph1 Gaza Süd XV38,20,158963,43,306000,Tigr_233036==3;S-60_Type59_Artillery==1;BTR_D==1;Infantry AK==5;SA-18 Igla comm==2;BRDM-2==2;PT_76==2;ZIL-135==1;SA-18 Igla manpad==2;ZU-23 Emplacement==1;
Ph1 Armor XV74,16,121716,336,342916,Tigr_233036==1;BTR-80==2;Infantry AK==4;T-55==3;T-72B==1;BRDM-2==1;BTR-82A==1;ZIL-135==1;Ural-375 ZU-23==1;ZSU-23-4 Shilka==1;
Ph1 Artillery XV46,11,136435,86,311187,ZIL-135==2;S-60_Type59_Artillery==2;Ural-375 ZU-23==2;Smerch_HE==5;
Ph1 RED SAM SA-3 XT97,12,-53406,19,362272,ZSU-23-4 Shilka==1;p-19 s-125 sr==1;5p73 s-125 ln==4;2S6 Tunguska==1;Ural-375==4;snr s-125 tr==1;
Ph1 RED SAM SA-6 XU82,9,-1069,490,354534,ZIL-135==3;Kub 1S91 str==2;Kub 2P25 ln==4;
Ph1 RED SAM SA-15 XV50,1,82713,390,321233,Tor 9A331==1;
Ph1 Qarara Küste XV27,26,149086,1,293156,BMP-2==2;S-60_Type59_Artillery==1;BTR-80==3;Infantry AK==6;tt_KORD==3;BRDM-2==1;SA-18 Igla manpad==3;ZIL-135==2;Paratrooper RPG-16==3;Ural-375 ZU-23==1;ZU-23 Emplacement Closed==1;
Ph1 Arad YV16,7,136071,580,380738,BTR-80==3;T-80UD==2;Ural-375==1;2S6 Tunguska==1;
Ph1 Akaba Armor XT97,18,-52652,74,364814,BTR-82A==6;T-80UD==4;BMP-3==5;Scud_B==3;
Ph1 RED SAM SA-15 XV73,2,112607,353,345177,Ural-375==1;Tor 9A331==1;
Ph1 Light Armor XV44,24,122183,157,313827,Infantry AK==7;Ural-375==1;BRDM-2==3;PT_76==1;BTR-80==1;MTLB==4;tt_KORD==3;ZIL-135==4;
Ph1 Armor XV66,17,138761,144,324774,ZSU_57_2==2;BMP-3==3;BTR-82A==3;ZSU-23-4 Shilka==1;T-55==5;T-72B==3;
Ph1 RED EW XV50,2,84227,126,240732,FPS-117==1;FPS-117 ECS==1;
Ph1 AAA XU82,5,-1080,489,354582,ZSU-23-4 Shilka==3;Strela-1 9P31==2;
Ph1 Gaza Hafen XV39,35,162508,1,304615,Infantry AK==14;SA-18 Igla comm==1;BRDM-2==6;SA-18 Igla manpad==2;ZIL-135==4;MTLB==3;Ural-375 ZU-23==3;Ural-375==2;
Ph1 Bureij Ost XV37,18,152699,10,304244,Ural-4320T==3;BRDM-2==3;tt_ZU-23==1;Infantry AK==10;ZIL-135==1;
Ph1 Nuseirat XV37,13,154635,26,300965,Tigr_233036==3;HL_DSHK==3;Ural-375==1;Infantry AK==6;
Ph1 RED SAM SA-6 XV62,8,102715,348,337921,Kub 2P25 ln==6;Kub 1S91 str==2;
Ph1 Khan Yunis XV27,22,142825,34,293207,BRDM-2==2;Infantry AK==7;ATMZ-5==2;SA-18 Igla manpad==2;ZIL-135==2;HL_DSHK==4;HL_ZU-23==1;Ural-4320 APA-5D==2;
Ph1 Fortification XV74,3,121776,345,343131,outpost==2;house2arm==1;
Ph1 Hura XV86,11,138590,300,349428,ZSU_57_2==1;Grad-URAL==3;T-80UD==3;Ural-4320T==1;HL_ZU-23==1;PT_76==2;
Ph1 Armor XU79,22,67353,792,340163,BMD-1==2;ZIL-135==2;BTR_D==1;BMP-3==3;BTR-80==4;HL_DSHK==3;T-55==3;Tigr_233036==4;
Ph1 RED SAM SA-11 XU79,6,67431,792,340049,SA-11 Buk SR 9S18M1==1;SA-11 Buk LN 9A310M1==4;SA-11 Buk CC 9S470M1==1;
Ph1 RED SAM SA-6 XV60,11,81378,619,330410,Kub 2P25 ln==4;ZiL-131 APA-80==1;Ural-375 PBU==1;Kub 1S91 str==1;Ural-4320-31==2;ATZ-10==2;
Ph1 RED SAM SA-15 XU79,1,67527,782,340146,Tor 9A331==1;
Ph1 RED EW XV60,1,80579,617,328611,55G6 EWR==1;
Ph1 Gaza Ost XV39,38,163556,15,308693,Tigr_233036==4;S-60_Type59_Artillery==1;MTLB==6;HL_ZU-23==3;SA-18 Igla comm==1;BRDM-2==6;SA-18 Igla manpad==1;ZIL-135==2;Infantry AK==14;
