--Save Stationary List of Statics: RedStatics.csv
Ph1 Akaba Statics-4,1,-52253,76,364907
Bir Hasanah,1,13986,373,210214
Ph1 SA6 XV62 static-2,1,102615,338,337382
Ph2 Outpost WS96 static-2,1,-164904,1529,262348
Static Mi-8MTV2-1,1,-164870,1524,262365
Static Mi-24V-3-1,1,-164996,1524,262359
Ph1 Armor XV74 static-2,1,121714,342,342983
Melez,1,39517,304,184883
Static Mi-26-1,1,69690,305,199701
Static Ka-27-1,1,-164988,1521,262432
Ovda,1,-12038,432,356742
Ph1 Akaba Statics-1,1,-52254,76,364843
Static Mi-24V-1,1,-52286,75,364894
Static Ammo-1,1,-52261,74,364896
Ramon Airbase,1,79648,619,328392
Static Mi-24V-2,1,-164973,1524,262351
